Node,Latitude,Longitude
Junction_1180,335521.93361,4693549.081337
Junction_1181,335521.379211,4693550.472666
Junction_1182,335510.880574,4693584.650067
Junction_1183,335511.440529,4693584.66113
Junction_1184,335485.70606,4693590.705504
Junction_1185,335484.130366,4693595.428082
Junction_1186,335473.195017,4693611.260161
Junction_1187,335472.885655,4693610.770638
Junction_1188,335527.192015,4693551.221642
Junction_1189,335521.178076,4693563.936674
Junction_119,338950.042611,4695945.342166
Junction_1190,335398.553907,4693539.690947
Junction_1191,335398.546548,4693538.291209
Junction_1192,335374.719812,4693540.187278
Junction_1193,335374.782235,4693555.123409
Junction_1194,335351.839933,4693541.228697
Junction_1195,335351.878729,4693540.677201
Junction_1196,335285.335997,4693533.37931
Junction_1197,335285.553201,4693530.582086
Junction_1198,335242.617099,4693524.948643
Junction_1199,335241.830879,4693515.015517
Junction_12,336001.926793,4694421.866794
Junction_120,338953.558977,4695937.448927
Junction_1200,335685.107739,4693636.35318
Junction_1201,335641.767564,4693344.06789
Junction_1202,335639.239305,4693344.912729
Junction_1203,335644.21678,4693367.887469
Junction_1204,335646.342819,4693367.47839
Junction_1205,335648.447882,4693384.256777
Junction_1206,335650.819959,4693384.013342
Junction_1207,335650.024878,4693392.013005
Junction_1208,335649.978274,4693391.897019
Junction_1209,335637.823498,4693394.249823
Junction_121,338973.51248,4695978.485356
Junction_1210,335637.957655,4693395.228468
Junction_1211,335652.659211,4693390.806092
Junction_1212,335485.144102,4693019.965962
Junction_1213,335484.010976,4693020.742371
Junction_1214,335486.276527,4693022.705118
Junction_1215,335486.73156,4693022.376383
Junction_1216,335512.718725,4693075.565335
Junction_1217,335514.331863,4693074.408782
Junction_1218,335521.582399,4693088.866503
Junction_1219,335517.301739,4693090.810228
Junction_122,338974.916524,4695978.779951
Junction_1220,335564.424742,4693175.667795
Junction_1221,335563.414159,4693176.359705
Junction_1222,335604.162301,4693245.911708
Junction_1223,335598.361712,4693249.224836
Junction_1224,335616.081501,4693273.381459
Junction_1225,335620.546376,4693272.432548
Junction_1226,335618.521356,4693279.544622
Junction_1227,335619.666497,4693279.145405
Junction_1228,335588.515287,4693219.286947
Junction_1229,335587.21051,4693220.037425
Junction_123,338962.753938,4696027.923769
Junction_1230,335626.109437,4693300.818772
Junction_1231,335624.229387,4693303.02215
Junction_1232,335623.927584,4693301.511282
Junction_1233,335668.45575,4693462.339765
Junction_1234,335671.812028,4693462.009979
Junction_1235,335829.738765,4693483.324876
